ID,Age,Sex,Subject_DS,Score_DS,Subject_MT,Score_MT,Subject_PY,Score_PY
96,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
97,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
98,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
99,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
100,19,2,Data Structue,59.0,Maths,65.0,Physics,61.0
101,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
102,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
103,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
104,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
105,18,2,Data Structue,76.0,Maths,82.0,Physics,78.0
106,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
107,21,1,Data Structue,39.0,Maths,45.0,Physics,0.0
108,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
109,19,1,Data Structue,39.0,Maths,45.0,Physics,0.0
110,21,2,Data Structue,79.0,Maths,85.0,Physics,81.0
111,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
112,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
113,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
114,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
115,20,2,Data Structue,89.0,Maths,95.0,Physics,91.0
116,21,1,Data Structue,82.0,Maths,88.0,Physics,84.0
117,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
118,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
119,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
120,21,2,Data Structue,79.0,Maths,85.0,Physics,81.0
121,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
122,18,1,Data Structue,82.0,Maths,88.0,Physics,0.0
123,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
124,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
125,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
126,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
127,21,1,Data Structue,39.0,Maths,45.0,Physics,41.0
128,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
129,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
130,18,2,Data Structue,69.0,Maths,75.0,Physics,71.0
131,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
132,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
133,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
134,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
135,18,2,Data Structue,79.0,Maths,85.0,Physics,81.0
136,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
137,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
138,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
139,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
140,21,2,Data Structue,0.0,Maths,45.0,Physics,88.0
141,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
142,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
143,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
144,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
145,21,2,Data Structue,82.0,Maths,88.0,Physics,84.0
146,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
147,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
148,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
149,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
150,21,2,Data Structue,59.0,Maths,65.0,Physics,61.0
151,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
152,18,1,Data Structue,25.0,Maths,31.0,Physics,27.0
153,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
154,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
155,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
156,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
157,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
158,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
159,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
160,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
161,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
162,18,1,Data Structue,0.0,Maths,88.0,Physics,81.0
163,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
164,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
165,18,2,Data Structue,39.0,Maths,45.0,Physics,41.0
166,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
167,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
168,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
169,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
170,18,2,Data Structue,69.0,Maths,75.0,Physics,71.0
171,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
172,18,1,Data Structue,59.0,Maths,65.0,Physics,61.0
173,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
174,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
175,19,2,Data Structue,39.0,Maths,45.0,Physics,41.0
176,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
177,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
178,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
179,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
180,18,2,Data Structue,89.0,Maths,95.0,Physics,91.0
181,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
182,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
183,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
184,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
185,20,2,Data Structue,89.0,Maths,95.0,Physics,91.0
186,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
187,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
188,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
189,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
190,18,2,Data Structue,76.0,Maths,82.0,Physics,78.0
191,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
192,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
193,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
194,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
195,20,2,Data Structue,85.0,Maths,91.0,Physics,87.0
196,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
197,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
198,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
199,21,1,Data Structue,82.0,Maths,88.0,Physics,84.0
200,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
201,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
202,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
203,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
204,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
205,18,2,Data Structue,76.0,Maths,82.0,Physics,78.0
206,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
207,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
208,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
209,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
210,19,2,Data Structue,60.0,Maths,66.0,Physics,62.0
211,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
212,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
213,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
214,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
215,19,2,Data Structue,60.0,Maths,66.0,Physics,62.0
216,19,1,Data Structue,0.0,Maths,88.0,Physics,69.0
217,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
218,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
219,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
220,18,2,Data Structue,89.0,Maths,95.0,Physics,91.0
221,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
222,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
223,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
224,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
225,21,2,Data Structue,79.0,Maths,85.0,Physics,81.0
226,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
227,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
228,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
229,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
230,18,2,Data Structue,59.0,Maths,65.0,Physics,61.0
231,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
232,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
233,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
234,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
235,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
236,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
237,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
238,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
239,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
240,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
241,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
242,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
243,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
244,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
245,20,2,Data Structue,85.0,Maths,91.0,Physics,87.0
246,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
247,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
248,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
249,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
250,19,2,Data Structue,82.0,Maths,88.0,Physics,84.0
251,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
252,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
253,18,1,Data Structue,59.0,Maths,65.0,Physics,61.0
254,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
255,18,2,Data Structue,79.0,Maths,85.0,Physics,81.0
256,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
257,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
258,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
259,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
260,18,2,Data Structue,39.0,Maths,45.0,Physics,41.0
261,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
262,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
263,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
264,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
265,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
266,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
267,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
268,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
269,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
270,19,2,Data Structue,59.0,Maths,65.0,Physics,61.0
271,21,1,Data Structue,82.0,Maths,88.0,Physics,84.0
272,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
273,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
274,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
275,18,2,Data Structue,85.0,Maths,91.0,Physics,87.0
276,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
277,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
278,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
279,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
280,19,2,Data Structue,59.0,Maths,65.0,Physics,61.0
281,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
282,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
283,21,1,Data Structue,39.0,Maths,45.0,Physics,41.0
284,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
285,18,2,Data Structue,69.0,Maths,75.0,Physics,71.0
286,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
287,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
288,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
289,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
290,20,2,Data Structue,85.0,Maths,91.0,Physics,87.0
291,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
292,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
293,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
294,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
295,18,2,Data Structue,60.0,Maths,66.0,Physics,62.0
296,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
297,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
298,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
299,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
300,18,2,Data Structue,85.0,Maths,91.0,Physics,87.0
301,19,1,Data Structue,58.0,Maths,64.0,Physics,60.0
302,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
303,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
304,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
305,20,2,Data Structue,47.0,Maths,53.0,Physics,49.0
306,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
307,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
308,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
309,19,1,Data Structue,58.0,Maths,64.0,Physics,60.0
310,19,2,Data Structue,82.0,Maths,88.0,Physics,84.0
311,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
312,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
313,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
314,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
315,21,2,Data Structue,39.0,Maths,45.0,Physics,41.0
316,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
317,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
318,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
319,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
320,18,2,Data Structue,69.0,Maths,75.0,Physics,71.0
321,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
322,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
323,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
324,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
325,21,2,Data Structue,59.0,Maths,65.0,Physics,61.0
326,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
327,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
328,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
329,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
330,18,2,Data Structue,89.0,Maths,95.0,Physics,91.0
331,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
332,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
333,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
334,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
335,20,2,Data Structue,47.0,Maths,53.0,Physics,49.0
336,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
337,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
338,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
339,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
340,21,2,Data Structue,82.0,Maths,88.0,Physics,84.0
341,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
342,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
343,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
344,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
345,21,2,Data Structue,82.0,Maths,88.0,Physics,84.0
346,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
347,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
348,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
349,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
350,19,2,Data Structue,59.0,Maths,65.0,Physics,61.0
351,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
352,18,1,Data Structue,25.0,Maths,31.0,Physics,27.0
353,18,1,Data Structue,59.0,Maths,65.0,Physics,61.0
354,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
355,20,2,Data Structue,76.0,Maths,82.0,Physics,78.0
356,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
357,18,1,Data Structue,59.0,Maths,65.0,Physics,61.0
358,21,1,Data Structue,82.0,Maths,88.0,Physics,84.0
359,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
360,21,2,Data Structue,39.0,Maths,45.0,Physics,41.0
361,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
362,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
363,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
364,19,1,Data Structue,79.0,Maths,85.0,Physics,81.0
365,19,2,Data Structue,60.0,Maths,66.0,Physics,62.0
366,18,1,Data Structue,60.0,Maths,66.0,Physics,62.0
367,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
368,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
369,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
370,20,2,Data Structue,85.0,Maths,91.0,Physics,87.0
371,18,1,Data Structue,85.0,Maths,91.0,Physics,87.0
372,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
373,20,1,Data Structue,69.0,Maths,75.0,Physics,71.0
374,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
375,19,2,Data Structue,82.0,Maths,88.0,Physics,84.0
376,21,1,Data Structue,82.0,Maths,88.0,Physics,84.0
377,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
378,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
379,18,1,Data Structue,39.0,Maths,45.0,Physics,41.0
380,20,2,Data Structue,47.0,Maths,53.0,Physics,49.0
381,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
382,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
383,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
384,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
385,20,2,Data Structue,85.0,Maths,91.0,Physics,87.0
386,18,1,Data Structue,79.0,Maths,85.0,Physics,81.0
387,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
388,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
389,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
390,18,2,Data Structue,85.0,Maths,91.0,Physics,87.0
391,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
392,20,1,Data Structue,76.0,Maths,0.0,Physics,78.0
393,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
394,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
395,20,2,Data Structue,76.0,Maths,82.0,Physics,78.0
396,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
397,19,1,Data Structue,82.0,Maths,88.0,Physics,84.0
398,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
399,21,1,Data Structue,79.0,Maths,85.0,Physics,81.0
400,18,2,Data Structue,85.0,Maths,91.0,Physics,87.0
401,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
402,20,1,Data Structue,47.0,Maths,53.0,Physics,49.0
403,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
404,18,1,Data Structue,89.0,Maths,95.0,Physics,91.0
405,18,2,Data Structue,47.0,Maths,53.0,Physics,49.0
406,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
407,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
408,18,1,Data Structue,59.0,Maths,65.0,Physics,61.0
409,19,1,Data Structue,39.0,Maths,45.0,Physics,41.0
410,18,2,Data Structue,76.0,Maths,82.0,Physics,78.0
411,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
412,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
413,21,1,Data Structue,59.0,Maths,65.0,Physics,61.0
414,19,1,Data Structue,60.0,Maths,66.0,Physics,62.0
415,18,2,Data Structue,89.0,Maths,95.0,Physics,91.0
416,21,1,Data Structue,39.0,Maths,45.0,Physics,41.0
417,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
418,19,1,Data Structue,0.0,Maths,88.0,Physics,57.0
419,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
420,18,2,Data Structue,79.0,Maths,85.0,Physics,81.0
421,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
422,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
423,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
424,21,1,Data Structue,60.0,Maths,66.0,Physics,62.0
425,19,2,Data Structue,79.0,Maths,85.0,Physics,81.0
426,18,1,Data Structue,69.0,Maths,75.0,Physics,71.0
427,20,1,Data Structue,85.0,Maths,91.0,Physics,87.0
428,19,1,Data Structue,59.0,Maths,65.0,Physics,61.0
429,20,1,Data Structue,76.0,Maths,82.0,Physics,78.0
430,18,2,Data Structue,39.0,Maths,45.0,Physics,41.0
431,20,1,Data Structue,89.0,Maths,95.0,Physics,91.0
432,18,1,Data Structue,82.0,Maths,88.0,Physics,84.0
433,18,1,Data Structue,47.0,Maths,53.0,Physics,49.0
434,18,1,Data Structue,76.0,Maths,82.0,Physics,78.0
